SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Ticker,Report_Date
33021,USD,2011,Q3,2011-08-31,2011-08-31,9289000.0,9289000.0,8657000.0,9006000.0,18033000.0,38160000.0,8158000.0,,11813000.0,19971000.0,58131000,11769000.0,,11769000.0,,11424000.0,23193000,18906000.0,,24084000.0,34938000.0,58131000,BRID,2011-08-31
33021,USD,2011,Q4,2012-01-17,2013-01-18,9180060.0,9180060.0,9324000.0,9702000.0,16888000.0,37290000.0,7903000.0,,11773000.0,19676000.0,56966000,9836000.0,,13275000.0,,18853000.0,32128000,18469000.0,,23096000.0,24838000.0,56966000,BRID,2011-11-30
33021,USD,2012,Q1,2012-03-02,2012-03-02,9195000.0,9195000.0,9715000.0,9104000.0,15740000.0,36600000.0,7802000.0,,11809000.0,19611000.0,56211000,10316000.0,,13072000.0,,18640000.0,31712000,18408000.0,,22818000.0,24499000.0,56211000,BRID,2012-02-29
33021,USD,2012,Q2,2012-05-31,2012-05-31,9188000.0,9188000.0,9266000.0,9356000.0,15506000.0,35830000.0,7447000.0,,12407000.0,19854000.0,55684000,9819000.0,,11663000.0,,18540000.0,30203000,18350000.0,,23858000.0,25481000.0,55684000,BRID,2012-05-31
33021,USD,2012,Q3,2012-08-31,2012-08-31,9180000.0,9180000.0,10830000.0,10024000.0,15408000.0,37886000.0,9076000.0,,12230000.0,21306000.0,59192000,10316000.0,,13363000.0,,19557000.0,32920000,18280000.0,,24719000.0,26272000.0,59192000,BRID,2012-08-31
33021,USD,2012,Q4,2013-01-18,2014-01-17,9167952.0,9167952.0,9744000.0,11758000.0,17355000.0,40153000.0,9076000.0,,12321000.0,21397000.0,61550000,10876000.0,,14874000.0,,26532000.0,41406000,18148000.0,,26747000.0,20144000.0,61550000,BRID,2012-11-30
33021,USD,2013,Q1,2013-03-08,2013-03-08,9158000.0,9158000.0,6244000.0,11645000.0,20708000.0,40063000.0,9293000.0,,12586000.0,21879000.0,61942000,10345000.0,,14185000.0,,26356000.0,40541000,18141000.0,,28011000.0,21401000.0,61942000,BRID,2013-02-28
33021,USD,2013,Q2,2013-05-31,2013-05-31,9156000.0,9156000.0,6432000.0,10813000.0,21768000.0,40350000.0,9456000.0,,12649000.0,22105000.0,62455000,10767000.0,,14173000.0,,26786000.0,40959000,18125000.0,,28122000.0,21496000.0,62455000,BRID,2013-05-31
33021,USD,2013,Q3,2013-08-31,2013-08-31,9154000.0,9154000.0,6482000.0,11611000.0,19681000.0,38869000.0,10979000.0,,12937000.0,23916000.0,62785000,10876000.0,,14164000.0,,27180000.0,41344000,18089000.0,,28103000.0,21441000.0,62785000,BRID,2013-08-31
33021,USD,2013,Q4,2014-01-17,2015-01-16,9139756.0,9139756.0,8325000.0,12146000.0,18919000.0,40406000.0,11212000.0,,13146000.0,24358000.0,64764000,12446000.0,,15646000.0,,15663000.0,31309000,17939000.0,,29205000.0,33455000.0,64764000,BRID,2013-11-30
